method_name,valid_parameter_samples,invalid_parameter_samples,T60_mae,T60_rmse,T60_r2,EDT_mae,EDT_rmse,EDT_r2,C50_mae,C50_rmse,C50_r2,D50_mae,D50_rmse,D50_r2
rir_small,4,0,1.2928743520841375,1.2929915490492256,-3410.82021403306,6.020582348318462,6.020634277190289,-71652.82244372876,22.30968796672445,22.374223733705954,-183.73000315178604,0.8529311856360511,0.8533887173498688,-982.6168388767695
base_model,4,0,1.5059257372250494,1.5065751655173651,-4631.083436928061,5.858905013041482,5.858913788556105,-67855.12962377247,19.548916529644973,19.615502194514335,-140.9843074051915,0.8011603931196003,0.8015975299758583,-866.850468115604
rir_depth,4,0,1.526705621324672,1.5267611833433057,-4756.041989786485,6.027946629196415,6.028007340512803,-71828.42907833557,19.921063705286862,19.991937877871294,-146.48616117002535,0.8097780365742815,0.8102627704524963,-885.7147457734982
rir_large,4,0,2.14931408923975,2.150605749257586,-9437.791009207249,5.602527001498208,5.602826282631811,-62052.91465184616,19.28426990714346,19.352011728560246,-137.19544277200984,0.7946086918718059,0.7950603866751886,-852.7532945978546
